Configuration,TrueModelUpDown,TrueLocationP,TrueLocationQ,P0,Q0,P1,Q1,P2,Q2,P3,Q3,P4,Q4,P5,Q5,P6,Q6,P7,Q7,P8,Q8,P9,Q9
6,0,361,350,436,291,464,340,468,294,416,307,485,480,246,283,179,224,479,272,436,272,255,481
7,1,409,450,314,496,456,560,486,328,297,343,236,546,378,445,598,305,580,448,409,501,283,334
6,1,388,470,433,277,550,491,425,353,358,519,313,544,515,440,503,516,374,599,309,527,465,394
6,1,383,489,484,310,274,452,568,614,251,470,432,464,275,469,268,560,300,598,395,590,318,433
6,1,392,459,449,373,381,487,319,493,580,267,330,424,380,520,465,420,540,538,458,560,480,294
7,1,408,450,473,437,357,434,432,620,415,470,239,384,388,562,500,401,502,567,416,394,312,605
6,1,414,476,331,462,292,458,344,459,506,637,384,470,203,506,378,474,248,615,279,468,158,378
6,0,354,350,237,483,378,251,505,412,165,129,367,277,364,698,539,356,461,424,413,349,339,477
6,0,407,350,290,292,248,482,404,323,367,253,285,291,290,465,536,476,429,234,321,321,507,319
6,0,447,350,404,265,618,369,420,423,508,303,624,114,437,334,647,268,371,360,423,228,366,351
6,1,418,494,427,282,487,411,590,608,630,510,295,657,485,359,631,376,388,519,416,576,413,618
7,1,436,450,312,398,466,376,249,327,411,263,405,651,313,342,464,422,384,435,390,300,527,543
6,0,369,350,501,299,294,324,497,362,504,222,625,476,359,336,438,375,480,349,357,449,358,235
6,0,405,350,503,400,394,301,458,399,474,319,290,428,119,461,364,385,534,299,477,377,424,254
7,1,352,450,335,550,277,575,346,446,438,430,333,420,252,622,260,520,273,558,367,691,344,345
6,1,402,450,436,420,588,516,311,517,467,586,552,555,495,519,313,466,276,324,320,333,392,664
6,0,428,350,323,239,368,458,465,329,448,379,438,335,346,402,414,314,562,239,389,275,462,294
6,0,355,350,351,362,304,328,381,478,397,322,330,496,394,329,440,290,569,391,387,263,490,387
7,0,386,322,241,212,445,226,415,358,473,309,401,376,296,397,624,311,486,50,424,401,448,345
6,0,373,350,288,187,383,493,429,379,325,611,350,292,301,276,292,444,576,404,580,301,300,527
6,1,414,476,494,412,375,429,431,661,492,430,276,525,588,483,548,508,290,388,373,399,537,683
7,1,428,450,342,347,386,155,467,283,424,598,380,331,538,395,354,375,416,477,517,471,456,420
6,1,386,478,382,580,410,307,408,293,486,517,428,617,362,436,165,530,503,711,367,380,408,611
6,1,405,454,357,414,344,548,443,515,423,388,233,562,398,459,498,567,559,440,432,532,238,328
6,0,423,350,552,421,200,473,479,416,552,669,364,255,366,328,300,393,382,226,396,279,240,386
6,0,388,350,572,438,388,312,323,407,364,513,362,448,393,413,155,370,408,447,291,359,238,314
7,1,365,450,255,397,331,356,474,490,395,410,290,434,361,418,303,467,335,553,399,581,332,602
6,1,416,484,403,454,338,369,456,556,452,554,383,526,445,399,480,399,441,503,343,293,535,636
7,0,416,316,315,316,497,388,487,317,421,320,484,313,465,242,598,433,475,325,380,254,403,467
6,1,407,457,471,353,411,655,474,451,592,395,381,584,423,366,399,655,462,475,420,453,521,527
6,0,360,350,416,345,204,286,215,312,237,342,432,376,282,392,231,460,378,463,352,356,294,293
7,0,390,337,491,432,165,211,290,260,520,362,340,353,432,436,360,485,316,243,496,328,405,341
6,0,435,350,256,415,324,236,418,553,343,403,353,283,466,373,489,294,386,197,456,304,409,339
6,1,409,461,424,567,453,441,416,375,394,609,415,397,491,362,417,530,235,542,346,397,373,394
7,0,406,344,356,308,348,533,369,315,345,450,392,370,507,512,303,307,341,270,495,389,550,281
7,0,411,332,289,432,527,523,282,330,180,386,412,405,434,279,147,273,582,370,312,383,275,237
7,1,393,450,287,602,410,414,484,570,295,577,361,515,303,503,329,586,210,404,416,436,455,287
6,1,406,454,529,487,283,442,515,440,551,568,392,511,418,397,311,457,263,520,438,456,495,499
7,1,389,450,354,664,472,395,88,487,461,402,290,395,428,504,501,353,490,553,377,533,457,533
7,0,386,321,323,325,341,503,394,430,493,275,353,406,204,279,325,109,391,256,453,376,523,499
6,0,445,350,502,374,282,344,513,258,531,260,617,298,558,313,388,396,649,500,427,444,177,301
6,1,395,454,236,335,622,581,335,413,513,385,543,400,378,421,448,488,352,451,513,527,406,452
7,0,410,335,473,276,613,420,466,300,635,311,513,399,288,339,299,433,460,247,538,263,468,205
6,0,449,350,411,405,298,186,409,326,564,465,401,383,507,349,373,360,560,441,515,209,447,436
6,1,391,461,353,416,309,355,303,488,419,496,327,529,570,390,455,384,386,379,488,530,386,426
6,0,411,350,562,606,234,188,451,353,459,395,501,344,524,381,558,347,410,408,490,367,337,327
6,1,412,470,549,441,229,518,396,561,413,454,408,689,257,602,401,378,273,469,355,559,530,390
7,0,398,350,451,494,429,367,370,356,408,436,495,437,368,367,502,379,427,631,283,188,340,446
7,0,401,350,227,359,153,429,286,328,475,387,450,281,326,335,261,386,498,335,515,220,395,255
7,1,420,450,490,425,497,481,421,399,292,361,357,402,421,506,321,477,397,481,492,294,439,253
6,1,383,491,258,316,467,459,525,285,251,429,414,462,446,291,458,489,392,433,245,632,409,726
6,1,389,466,432,594,245,592,592,588,337,403,548,582,453,469,348,543,322,349,423,463,264,431
6,0,448,350,357,384,402,263,487,406,319,397,418,223,306,500,592,370,420,415,478,478,394,464
6,1,387,472,421,480,387,516,389,443,156,414,309,346,437,371,489,329,413,558,223,514,291,546
7,0,388,329,368,458,479,311,351,240,332,200,452,177,452,192,388,613,164,322,222,317,400,358
6,0,399,350,359,254,307,236,235,286,340,443,427,487,389,400,439,359,422,303,636,291,236,244
6,0,405,350,372,373,432,292,227,328,271,276,490,267,269,276,337,398,430,211,390,475,415,351
7,0,391,340,326,292,412,141,478,338,452,394,424,219,527,246,367,456,389,302,354,359,372,258
6,0,421,350,394,331,504,320,554,488,515,296,365,369,587,355,331,324,461,192,437,378,398,303
6,0,365,350,614,250,490,402,319,329,261,532,320,99,384,340,464,308,525,395,514,401,292,475
6,0,418,350,475,300,282,354,332,355,459,297,419,338,467,457,538,358,302,226,480,388,485,570
6,1,392,460,655,358,547,510,344,583,353,502,358,464,436,403,363,612,247,512,343,511,469,499
6,1,397,451,451,537,375,504,335,198,355,458,321,429,425,515,383,325,307,302,677,512,403,622
7,0,398,349,508,442,468,260,446,338,342,318,437,297,433,384,443,211,285,323,417,305,426,366
6,0,375,350,320,430,463,146,328,529,394,263,356,410,267,279,412,330,480,545,393,339,488,338
7,0,404,348,250,296,466,314,556,238,434,328,618,207,273,512,530,372,394,364,435,307,554,262
7,1,420,450,422,410,423,291,300,344,369,435,556,392,276,505,418,459,497,405,532,377,601,402
6,1,391,460,439,413,420,724,506,563,479,362,470,329,387,462,455,556,444,315,245,323,374,405
6,0,368,350,324,380,260,350,328,277,515,246,418,259,478,395,528,344,539,404,361,204,230,24
7,1,408,450,289,539,535,540,557,287,298,376,304,418,684,410,355,398,365,392,285,577,364,501
7,1,437,450,449,489,278,518,571,418,443,196,365,488,533,320,450,399,320,513,415,368,412,494
7,0,382,306,312,138,472,146,281,311,308,258,299,346,423,212,407,323,266,288,256,85,457,437
7,0,415,317,492,372,383,433,394,128,532,448,365,384,499,294,316,391,539,159,357,381,425,293
6,1,409,462,251,592,441,613,369,585,275,516,339,527,386,528,240,423,310,530,382,519,274,481
7,1,354,450,446,561,366,471,402,455,486,462,251,423,323,481,125,419,351,348,293,345,268,396
7,0,407,342,427,386,632,288,468,437,537,424,380,233,494,349,489,89,505,239,605,406,410,400
6,0,405,350,364,426,341,556,456,385,419,331,406,300,504,393,345,394,337,246,289,274,346,243
7,0,404,348,527,512,380,379,494,549,243,350,430,251,503,417,319,609,390,283,636,344,526,447
6,0,410,350,289,261,326,571,358,384,452,361,468,264,233,348,641,204,275,354,239,413,332,192
7,0,387,325,289,417,216,312,545,499,361,277,407,180,465,418,350,281,319,570,277,351,500,420
6,0,433,350,354,333,230,383,473,450,428,216,574,537,250,518,513,309,473,535,544,351,345,313
6,1,416,485,264,486,441,490,280,665,384,529,342,495,539,546,424,482,467,536,425,345,621,567
7,0,416,315,473,265,384,322,340,323,334,273,410,427,487,429,436,345,459,404,494,311,652,371
7,1,446,450,406,453,428,576,594,409,550,376,377,442,312,468,490,548,453,292,341,347,475,414
7,1,417,450,540,476,396,466,540,439,536,519,363,455,481,461,491,459,503,350,307,363,397,353
6,0,368,350,379,295,145,364,309,430,535,346,38,496,227,247,285,275,319,290,358,427,176,342
6,1,383,490,393,569,239,446,296,589,237,647,479,683,535,465,243,410,616,445,363,610,273,517
6,1,408,458,339,358,375,492,330,429,260,592,445,422,338,506,417,474,420,386,513,451,339,505
