Configuration,TrueModelUpDown,TrueLocationP,TrueLocationQ,P0,Q0,P1,Q1,P2,Q2,P3,Q3,P4,Q4,P5,Q5,P6,Q6,P7,Q7,P8,Q8,P9,Q9
6,1,416,487,405,345,456,599,372,473,230,518,434,384,136,299,501,328,412,604,549,429,518,386
7,0,401,350,293,525,318,248,388,307,417,392,595,278,460,593,474,428,371,427,574,248,361,461
7,1,355,450,314,555,235,435,351,231,245,459,114,379,478,249,341,447,430,305,419,525,344,408
7,0,396,348,417,313,552,197,477,370,454,242,279,378,526,417,414,337,203,261,410,429,370,274
7,1,362,450,172,542,376,523,292,454,402,403,122,555,353,340,332,449,441,460,369,386,237,409
7,1,411,450,446,355,535,360,506,392,309,591,515,441,548,435,535,467,567,443,300,693,372,316
6,0,388,350,280,435,391,352,544,382,509,266,513,443,453,138,396,333,316,318,444,332,351,471
6,1,387,473,416,409,377,436,366,550,423,618,391,403,346,435,380,447,536,560,330,681,366,647
7,1,388,450,432,380,327,565,242,303,413,378,324,408,332,536,427,294,431,269,454,232,287,166
6,0,419,350,408,365,291,277,344,347,355,429,421,318,303,246,428,290,298,384,382,534,513,421
7,1,404,450,526,391,359,451,533,570,508,343,289,354,205,364,334,550,418,322,428,504,425,474
6,0,391,350,540,342,350,280,205,437,356,388,361,271,431,458,380,196,397,562,303,472,466,445
6,1,405,454,288,587,274,728,452,418,402,509,273,455,228,477,358,338,493,535,376,604,642,485
6,1,383,490,353,502,512,515,190,589,385,485,409,413,224,545,427,395,277,469,342,606,306,605
6,1,407,456,388,479,335,421,449,604,464,520,429,514,310,528,459,406,446,565,440,287,364,433
6,0,406,350,426,405,300,406,519,241,430,179,406,374,445,275,442,324,416,329,399,231,261,367
6,1,395,454,349,399,513,405,599,340,505,613,347,624,383,351,536,377,416,391,240,526,442,436
7,1,359,450,220,416,317,428,410,495,251,357,381,440,372,426,402,320,470,467,270,602,329,381
6,0,369,350,420,271,232,344,464,414,416,342,327,389,278,385,298,233,512,198,539,438,406,264
7,1,356,450,377,475,194,328,347,541,369,448,415,562,314,349,388,438,318,397,246,229,455,531
7,0,403,349,548,480,468,373,386,607,265,226,385,391,556,341,263,421,296,379,302,407,491,479
7,1,378,450,333,358,228,434,433,357,297,147,321,457,252,553,243,451,439,377,435,561,539,475
6,1,395,453,437,581,477,510,378,508,330,471,383,615,248,339,402,340,289,290,227,513,568,352
7,1,436,450,412,188,353,262,360,340,513,453,227,257,430,361,592,316,366,310,260,416,413,475
7,1,418,450,393,253,470,251,295,304,239,590,368,512,351,290,230,337,488,413,526,465,494,510
